secondsPerPixel,major,minor,majorFormat,,majorWidth,minorPixels,ratio
1,60,15,H:mm,,60,15,4
2,300,60,H:mm,,150,30,5
3,300,60,H:mm,,100,20,5
5,300,60,H:mm,,60,12,5
10,900,60,H:mm,,90,6,15
15,900,300,H:mm,,60,20,3
30,3600,300,H:mm,,120,10,12
60,3600,900,H:mm,,60,15,4
100,10800,3600,H:mm,,108,36,3
180,21600,3600,H:mm,,120,20,6
300,86400,3600,ddd MMM d,,288,12,24
600,86400,10800,ddd MMM d,,144,18,8
900,86400,10800,MMM d,,96,12,8
1800,86400,86400, MMM d,,48,48,1
3600,86400,86400,dd,,24,24,1
7200,604800,604800,MMM d,,84,84,1
10800,604800,604800,MMM d,,56,56,1
